"","FinancialYear","CA","AllLiveBirths","AppropriateWeightCount","AppropriateWeightProportion"
"386","2020/21","S12000006",1063,944,88.8052681091251
"387","2020/21","S12000008",1026,917,89.3762183235867
"388","2020/21","S12000010",873,763,87.3997709049255
"389","2020/21","S12000011",749,686,91.588785046729
"390","2020/21","S12000013",162,148,91.358024691358
"391","2020/21","S12000014",1393,1239,88.9447236180904
"392","2020/21","S12000017",1764,1574,89.2290249433106
"393","2020/21","S12000018",551,510,92.5589836660617
"394","2020/21","S12000019",933,832,89.1747052518757
"395","2020/21","S12000020",741,657,88.663967611336
"396","2020/21","S12000021",991,875,88.2946518668012
"397","2020/21","S12000023",135,113,83.7037037037037
"398","2020/21","S12000026",762,671,88.0577427821522
"399","2020/21","S12000027",172,151,87.7906976744186
"400","2020/21","S12000028",737,654,88.7381275440977
"401","2020/21","S12000029",2822,2547,90.2551381998583
"402","2020/21","S12000030",647,565,87.3261205564142
"403","2020/21","S12000033",2008,1831,91.1852589641434
"404","2020/21","S12000034",2018,1805,89.4449950445986
"405","2020/21","S12000035",565,505,89.3805309734513
"406","2020/21","S12000036",4360,3896,89.3577981651376
"407","2020/21","S12000038",1523,1359,89.2317793827971
"408","2020/21","S12000039",753,677,89.9070385126162
"409","2020/21","S12000040",1595,1412,88.5266457680251
"410","2020/21","S12000041",822,723,87.956204379562
"411","2020/21","S12000042",1236,1120,90.6148867313916
"412","2020/21","S12000045",854,753,88.1733021077283
"413","2020/21","S12000047",2812,2494,88.6913229018492
"414","2020/21","S12000048",1086,952,87.6611418047882
"415","2020/21","S12000049",5792,5275,91.0738950276243
"416","2020/21","S12000050",3128,2777,88.7787723785166
